"","species","Phylum","Class","Order","Family","records _GBIF_OBIS"
"1","Acesta excavata","Mollusca","Bivalvia","Limida","Limidae",54
"2","Actinostola callosa","Cnidaria","Anthozoa","Actiniaria","Actinostolidae",836
"3","Alaria esculenta","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae",1002
"4","Alcyonidium disciforme","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae",20
"5","Alcyonium digitatum","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae",12509
"6","Amphicteis ninonae","Annelida","Polychaeta","Terebellida","Ampharetidae",137
"7","Antho dichotoma","Porifera","Demospongiae","Poecilosclerida","Microcionidae",136
"8","Anthothela grandiflora","Cnidaria","Anthozoa","Alcyonacea","Anthothelidae",60
"9","Arenicola marina","Annelida","Polychaeta",NA,"Arenicolidae",3178
"10","Asbestopluma furcata","Porifera","Demospongiae","Poecilosclerida","Cladorhizidae",23
"11","Asbestopluma pennatula","Porifera","Demospongiae","Poecilosclerida","Cladorhizidae",22
"12","Ascidia mentula","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae",3300
"13","Ascidia virginea","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae",1682
"14","Asconema setubalense","Porifera","Hexactinellida","Lyssacinosida","Rossellidae",4
"15","Ascophyllum nodosum","Ochrophyta","Phaeophyceae","Fucales","Fucaceae",2933
"16","Asterias rubens","Echinodermata","Asteroidea","Forcipulatida","Asteriidae",22751
"17","Astropecten irregularis","Echinodermata","Asteroidea","Paxillosida","Astropectinidae",6479
"18","Atlantopandalus propinqvus","Arthropoda","Malacostraca","Decapoda","Pandalidae",2521
"19","Axinella infundibuliformis","Porifera","Demospongiae","Axinellida","Axinellidae",1531
"20","Bathybiaster vexillifer","Echinodermata","Asteroidea","Paxillosida","Astropectinidae",166
"21","Bathycrinus carpenterii","Echinodermata","Crinoidea","Comatulida","Bathycrinidae",56
"22","Bathyplotes natans","Echinodermata","Holothuroidea","Synallactida","Synallactidae",34
"23","Bolocera tuediae","Cnidaria","Anthozoa","Actiniaria","Actiniidae",1877
"24","Buccinum undatum","Mollusca","Gastropoda","Neogastropoda","Buccinidae",8318
"25","Cancer pagurus","Arthropoda","Malacostraca","Decapoda","Cancridae",13164
"26","Caryophyllia smithii","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae",6502
"27","Caulophacus arcticus","Porifera","Hexactinellida","Lyssacinosida","Rossellidae",9
"28","Ceramaster granularis","Echinodermata","Asteroidea","Valvatida","Goniasteridae",1174
"29","Cerianthus lloydii","Cnidaria","Anthozoa","Spirularia","Cerianthidae",9119
"30","Chionoecetes opilio","Arthropoda","Malacostraca","Decapoda","Oregoniidae",15666
"31","Chondrocladia grandis","Porifera","Demospongiae","Poecilosclerida","Cladorhizidae",42
"32","Chondrus crispus","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae",3541
"33","Chorda filum","Ochrophyta","Phaeophyceae","Chordales","Chordaceae",6127
"34","Chordaria flagelliformis","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae",517
"35","Cidaris cidaris","Echinodermata","Echinoidea","Cidaroida","Cidaridae",280
"36","Ciona intestinalis","Chordata","Ascidiacea","Phlebobranchia","Cionidae",2658
"37","Cladorhiza gelida","Porifera","Demospongiae","Poecilosclerida","Cladorhizidae",13
"38","Clavularia borealis","Cnidaria","Anthozoa","Alcyonacea","Clavulariidae",1
"39","Colossendeis proboscidea","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae",27
"40","Rhizocrinus lofotensis","Echinodermata","Crinoidea","Comatulida","Rhizocrinidae",80
"41","Corallina officinalis","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae",3114
"42","Corella parallelogramma","Chordata","Ascidiacea","Phlebobranchia","Corellidae",1493
"43","Corymorpha glacialis","Cnidaria","Hydrozoa","Anthoathecata","Corymorphidae",3
"44","Corymorpha nutans","Cnidaria","Hydrozoa","Anthoathecata","Corymorphidae",570
"45","Craniella cranium","Porifera","Demospongiae","Tetractinellida","Tetillidae",84
"46","Craniella polyura","Porifera","Demospongiae","Tetractinellida","Tetillidae",28
"47","Craniella zetlandica","Porifera","Demospongiae","Tetractinellida","Tetillidae",54
"48","Crossaster papposus","Echinodermata","Asteroidea","Valvatida","Solasteridae",10440
"49","Crossaster squamatus","Echinodermata","Asteroidea","Valvatida","Solasteridae",16
"50","Ctenodiscus crispatus","Echinodermata","Asteroidea","Paxillosida","Ctenodiscidae",4568
"51","Cucumaria frondosa","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae",2676
"52","Delesseria sanguinea","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae",3752
"53","Dendrodoa aggregata","Chordata","Ascidiacea","Stolidobranchia","Styelidae",14
"54","Dictyota dichotoma","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae",4659
